Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2009,Aeroméxico Connect (Aerolitoral),288691,283314,319943,301154,273301,367932,385520,360650,317306,370715,353492,366632,3988650
2009,Aeroméxico (Aerovias de México),350308,331156,348927,300296,257472,304377,390982,372928,297550,322557,312711,308740,3898004
2009,Click (Aerovías Caribe),317784,313610,323600,289740,187602,295966,375341,363237,293253,335972,331933,335234,3763272
2009,Volaris (Concesionaria Vuela Cia de Aviación),262013,232576,272261,282551,230717,237943,302830,302663,222392,235103,256278,295126,3132453
2009,Interjet (ABC Aerolíneas),267878,231618,279862,282931,169881,234752,315961,304184,214674,227603,265049,311370,3105763
2009,Mexicana (Mexicana de Aviación),242717,222159,238033,204727,129322,174071,243578,229039,186246,194573,207854,195703,2468022
2009,Vivaaerobus (Aeroenlaces),76800,67079,82074,108057,96517,136749,181436,149958,111348,138165,127898,147355,1423436
2009,Aviacsa (Consorcio Aviaxsa),211433,203209,218702,212944,149890,119381,28773,0,0,0,0,0,1144332
2009,Magnicharters (Grupo Aéreo Monterrey),44144,30602,43481,59382,45569,60484,82793,67015,37513,36341,33717,44335,585376
2009,Aeromar,34813,40317,45657,35385,34010,47687,47873,45597,42337,47763,51316,44159,516914
2009,Mexicana Link,0,0,4818,13513,14796,21110,40316,61854,52764,65439,68323,62140,405073
2009,Aerocalifornia,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Alma (Aerolineas Mesoamericanas),0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Avolar,0,0,0,0,0,0,0,0,0,0,0,0,0
