Fecha,Pasajeros
1992-1,427833
1992-2,428738
1992-3,444647
1992-4,451556
1992-5,478995
1992-6,447570
1992-7,556623
1992-8,618712
1992-9,443534
1992-10,482156
1992-11,481395
1992-12,489795
1993-1,460328
1993-2,441569
1993-3,482810
1993-4,474889
1993-5,478215
1993-6,443064
1993-7,500141
1993-8,526736
1993-9,475495
1993-10,557306
1993-11,558505
1993-12,554145
1994-1,533843
1994-2,530074
1994-3,597230
1994-4,576084
1994-5,594516
1994-6,568273
1994-7,679988
1994-8,671550
1994-9,550363
1994-10,575401
1994-11,585836
1994-12,566066
1995-1,479277
1995-2,412986
1995-3,472241
1995-4,453797
1995-5,456229
1995-6,434664
1995-7,533143
1995-8,550062
1995-9,432259
1995-10,460630
1995-11,434742
1995-12,459777
1996-1,428363
1996-2,416970
1996-3,445545
1996-4,423458
1996-5,437315
1996-6,421147
1996-7,504487
1996-8,503533
1996-9,420295
1996-10,462729
1996-11,471488
1996-12,473810
1997-1,438395
1997-2,416432
1997-3,466796
1997-4,476918
1997-5,484032
1997-6,468826
1997-7,531359
1997-8,547210
1997-9,462957
1997-10,532649
1997-11,501156
1997-12,493716
1998-1,475298
1998-2,457563
1998-3,526787
1998-4,498494
1998-5,522194
1998-6,490563
1998-7,581193
1998-8,582128
1998-9,481938
1998-10,523111
1998-11,512870
1998-12,517139
1999-1,516294
1999-2,509348
1999-3,565925
1999-4,544301
1999-5,566582
1999-6,553259
1999-7,572444
1999-8,639961
1999-9,496566
1999-10,566257
1999-11,573425
1999-12,585281
2000-1,569834
2000-2,564413
2000-3,629393
2000-4,573657
2000-5,613314
2000-6,582518
2000-7,674770
2000-8,675337
2000-9,577813
2000-10,611237
2000-11,619420
2000-12,599263
2001-1,578262
2001-2,549428
2001-3,626534
2001-4,601970
2001-5,612266
2001-6,548515
2001-7,683125
2001-8,666211
2001-9,518815
2001-10,530814
2001-11,536062
2001-12,542257
2002-1,510714
2002-2,481716
2002-3,554625
2002-4,559013
2002-5,565017
2002-6,530520
2002-7,632128
2002-8,625038
2002-9,510599
2002-10,555521
2002-11,537786
2002-12,557724
2003-1,496748
2003-2,463235
2003-3,528515
2003-4,500786
2003-5,557334
2003-6,554130
2003-7,615864
2003-8,607205
2003-9,479304
2003-10,514499
2003-11,525477
2003-12,535098
2004-1,500039
2004-2,495638
2004-3,571246
2004-4,562406
2004-5,573858
2004-6,551455
2004-7,644368
2004-8,612501
2004-9,506670
2004-10,549703
2004-11,532603
2004-12,550878
2005-1,519538
2005-2,506647
2005-3,546644
2005-4,526608
2005-5,546077
2005-6,544255
2005-7,590813
2005-8,577708
2005-9,485571
2005-10,523274
2005-11,532094
2005-12,525484
2006-1,471756
2006-2,465120
2006-3,572890
2006-4,568972
2006-5,570452
2006-6,509724
2006-7,539037
2006-8,528201
2006-9,432637
2006-10,467137
2006-11,481141
2006-12,461322
2007-1,437019
2007-2,429089
2007-3,504675
2007-4,463537
2007-5,493425
2007-6,440063
2007-7,497667
2007-8,476837
2007-9,414355
2007-10,457200
2007-11,451213
2007-12,423727
2008-1,383278
2008-2,376080
2008-3,400208
2008-4,398711
2008-5,404561
2008-6,404490
2008-7,437669
2008-8,416873
2008-9,376580
2008-10,388850
2008-11,380929
2008-12,369839
2009-1,638999
2009-2,614470
2009-3,668870
2009-4,601450
2009-5,530773
2009-6,672309
2009-7,776502
2009-8,733578
2009-9,614856
2009-10,693272
2009-11,666203
2009-12,675372
2010-1,592472
2010-2,580154
2010-3,684424
2010-4,628504
2010-5,673746
2010-6,648864
2010-7,731384
2010-8,794914
2010-9,808142
2010-10,930405
2010-11,924383
2010-12,870186
2011-1,767108
2011-2,728221
2011-3,847730
2011-4,806234
2011-5,896691
2011-6,866741
2011-7,926426
2011-8,895514
2011-9,806344
2011-10,887039
2011-11,888014
2011-12,891974
2012-1,830643
2012-2,818908
2012-3,938224
2012-4,829522
2012-5,899666
2012-6,893892
2012-7,971934
2012-8,910188
2012-9,820327
2012-10,909687
2012-11,896124
2012-12,876285
2013-1,821298
2013-2,747968
2013-3,810015
2013-4,841689
2013-5,880017
2013-6,878418
2013-7,1003043
2013-8,976677
2013-9,914766
2013-10,995801
2013-11,1014528
2013-12,1010692
2014-1,968826
2014-2,873268
2014-3,1008598
2014-4,939730
2014-5,1019471
2014-6,919246
2014-7,1044937
2014-8,1062623
2014-9,937295
2014-10,1053846
2014-11,1025986
2014-12,1011577
2015-1,978615
2015-2,927821
2015-3,1068560
2015-4,1019749
2015-5,1098487
2015-6,1029743
2015-7,1143202
2015-8,1087847
2015-9,953946
2015-10,1066765
2015-11,1098329
2015-12,1085007
2016-1,961205
2016-2,926811
2016-3,1050493
2016-4,1062029
2016-5,1106583
2016-6,1083192
2016-7,1229366
2016-8,1161709
2016-9,1053676
2016-10,1130771
2016-11,1125926
2016-12,1146113
2017-1,1046516
2017-2,971672
2017-3,1117344
2017-4,1070929
2017-5,1126127
2017-6,1138957
2017-7,1213141
2017-8,1158890
2017-9,986198
2017-10,1136258
2017-11,1082761
2017-12,1086438
2018-1,1097919
2018-2,1010632
2018-3,1128419
2018-4,1155088
2018-5,1165737
2018-6,1167604
2018-7,1294772
2018-8,1193506
2018-9,1087712
2018-10,1143142
2018-11,1108817
2018-12,1151493
2019-1,1058692
2019-2,970714
2019-3,1125793
2019-4,1050189
2019-5,1130612
2019-6,1051649
2019-7,1126261
2019-8,1086019
2019-9,1013154
2019-10,1176541
2019-11,1112437
2019-12,1102187
2020-1,1031024
2020-2,988041
2020-3,725814
2020-4,130457
2020-5,122374
2020-6,210075
2020-7,423475
2020-8,525100
2020-9,609369
2020-10,743677
2020-11,781317
2020-12,864801
2021-1,842403
2021-2,734017
2021-3,936316
2021-4,936819
2021-5,1034733
2021-6,1033430
2021-7,1196493
2021-8,1064905
2021-9,947966
2021-10,1133862
2021-11,1128922
2021-12,1221018
2022-1,827347
2022-2,855777
2022-3,1161457
2022-4,1191627
2022-5,1323077
2022-6,1335542
2022-7,1392798
2022-8,1394601
2022-9,1289787
2022-10,1432089
2022-11,1469976
2022-12,1469415
