Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
1992,Aeroméxico (Aerovías de México),427833,428738,444647,451556,478995,447570,556623,618712,443534,482156,481395,489795,5751554
1992,Mexicana (Mexicana de Aviación),430610,391249,425599,469492,451100,422408,536393,581968,361733,422123,426534,439437,5358646
1992,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",29417,22540,33264,38883,39115,36307,69080,88622,34131,96398,102953,128931,719641
1992,Aerocalifornia,46706,43378,63142,47588,52314,53849,57709,73256,53844,64305,67982,74630,698703
1992,Aviacsa (Consorcio Aviaxsa),21274,21556,25940,28548,25922,25439,27975,30282,26112,32796,30981,44530,341355
1992,Servicios Aereos Rutas Oriente  (S.A.R.O),18166,21581,26557,21793,17285,25577,27505,36160,22222,24206,27426,33805,302283
1992,Aerovías Caribe S.A  de C.V,18049,17464,18450,17286,16487,16391,25746,24407,17199,20444,18127,28201,238251
1992,Aeromar,13189,15000,18632,18607,19983,19524,19557,18652,18949,21539,20847,18091,222570
1992,Aviación del Noroeste S.A de C.V,15343,15021,14552,14932,18468,9558,16707,18474,17077,16475,18373,22009,196989
1992,Aerocozumel,14011,9837,12917,14170,12643,11380,12388,15669,10500,11857,12876,13899,152147
1992,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,11381,2637,14410,7669,10848,10918,11621,12976,13184,12389,13776,11828,133637
1992,Aerovías de Poniente S.A de C.V,0,489,2731,4139,5758,6343,8521,8660,8477,11304,11205,13474,81101
1992,Aero Sudpacifico S.A.,1404,2128,2641,2653,2438,1305,2164,2252,1977,2225,2421,2404,26012
1992,Aeromonterrey,2920,3591,2946,1723,1855,1806,1831,1530,930,1815,1982,1882,24811
1992,Aerolineas Morelos S.A (Aeromorelos),693,1382,1643,1841,1937,1448,2480,2599,1109,1025,1472,2498,20127
1992,Transportes Aéreos  Gane S.A  de C.V,1609,865,638,617,541,622,386,278,252,550,360,550,7268
1992,Servicio Aéreo Leo López S.A. de C.V,172,362,439,489,463,481,560,549,398,509,472,490,5384
1993,Aero Sudpacifico S.A.,1976,2049,2299,2684,2506,1714,2301,1471,2104,2393,3003,3538,28038
1993,Aerocalifornia,61479,53883,56477,61568,61336,58642,77815,85408,54901,60453,65139,71135,768236
1993,Aerocozumel,17184,16211,18615,16317,12664,11157,11590,13444,9338,11910,14502,14508,167440
1993,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,12299,17815,20401,19640,17062,15247,11547,15897,14764,17619,8903,18703,189897
1993,Aeromar,17367,19084,23550,20319,22809,22727,22654,23077,23133,26564,26564,23970,271818
1993,Aeromonterrey,1247,1190,1592,0,0,0,0,0,0,0,0,0,4029
1993,Aerolineas Morelos S.A (Aeromorelos),2601,2202,2274,1932,2123,1547,2304,2915,1849,2154,2072,1862,25835
1993,Aerovías Caribe S.A  de C.V,18049,17464,18450,17286,16487,16391,25420,24407,17199,20444,18127,23201,232925
1993,Aeroméxico (Aerovías de México),460328,441569,482810,474889,478215,443064,500141,526736,475495,557306,558505,554145,5953203
1993,Aerovías de Poniente S.A de C.V,13681,15907,20362,21484,19811,18267,23435,21409,8019,20154,20721,21077,224327
1993,Aviación del Noroeste S.A de C.V,18944,15964,16814,19888,21335,17585,21300,20775,16144,16202,15460,19708,220119
1993,Aviacsa (Consorcio Aviaxsa),29704,29198,33343,35338,29038,29284,36196,37015,32675,32367,39698,33924,397780
1993,Mexicana (Mexicana de Aviación),372903,336322,371065,405682,407263,372666,402375,452764,346157,409960,408530,461047,4746734
1993,"Pal Aerolineas, S.A. de C.V.",0,0,0,0,0,0,0,0,0,527,806,1467,2800
1993,Servicios Aereos Rutas Oriente  (S.A.R.O),33321,38599,38246,42125,40255,45820,37036,39929,38205,43549,37782,29860,464727
1993,Servicio Aéreo Leo López S.A. de C.V,339,411,357,498,380,382,421,348,173,134,173,274,3890
1993,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",76380,52226,52629,70401,77541,79306,155390,157723,114211,132759,117303,181627,1267496
1993,Transportes Aéreos  Gane S.A  de C.V,438,266,305,550,639,482,0,0,0,0,0,0,2680
1994,Aero Sudpacifico S.A.,2408,1570,2730,2984,882,2070,2443,1696,2372,3504,3670,4377,30706
1994,Aerocalifornia,64391,51951,62239,63557,66335,58701,75569,77015,64291,65858,60231,79636,789774
1994,Aerocozumel,19090,17984,19619,17569,13787,12185,7943,14289,10008,13096,12886,13495,171951
1994,Aeroejecutivo S.A de C.V ,0,0,0,0,0,0,0,0,352,2825,12219,17031,32427
1994,Aerolineas Internacionales,0,0,0,0,788,5359,8921,8521,8425,10903,9955,16756,69628
1994,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,14894,15496,16642,14043,19171,15648,16855,19395,19988,20519,20725,20667,214043
1994,Aeromar,21708,24590,27944,27114,29146,27808,29910,29881,27907,29882,28977,22936,327803
