Año,Aerolinea,Mes,Pasajeros
1992,Aeroméxico (Aerovías de México),1,427833
1992,Mexicana (Mexicana de Aviación),1,430610
1992,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",1,29417
1992,Aerocalifornia,1,46706
1992,Aviacsa (Consorcio Aviaxsa),1,21274
1992,Servicios Aereos Rutas Oriente  (S.A.R.O),1,18166
1992,Aerovías Caribe S.A  de C.V,1,18049
1992,Aeromar,1,13189
1992,Aviación del Noroeste S.A de C.V,1,15343
1992,Aerocozumel,1,14011
1992,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,11381
1992,Aerovías de Poniente S.A de C.V,1,0
1992,Aero Sudpacifico S.A.,1,1404
1992,Aeromonterrey,1,2920
1992,Aerolineas Morelos S.A (Aeromorelos),1,693
1992,Transportes Aéreos  Gane S.A  de C.V,1,1609
1992,Servicio Aéreo Leo López S.A. de C.V,1,172
1993,Aero Sudpacifico S.A.,1,1976
1993,Aerocalifornia,1,61479
1993,Aerocozumel,1,17184
1993,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,12299
1993,Aeromar,1,17367
1993,Aeromonterrey,1,1247
1993,Aerolineas Morelos S.A (Aeromorelos),1,2601
1993,Aerovías Caribe S.A  de C.V,1,18049
1993,Aeroméxico (Aerovías de México),1,460328
1993,Aerovías de Poniente S.A de C.V,1,13681
1993,Aviación del Noroeste S.A de C.V,1,18944
1993,Aviacsa (Consorcio Aviaxsa),1,29704
1993,Mexicana (Mexicana de Aviación),1,372903
1993,"Pal Aerolineas, S.A. de C.V.",1,0
1993,Servicios Aereos Rutas Oriente  (S.A.R.O),1,33321
1993,Servicio Aéreo Leo López S.A. de C.V,1,339
1993,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",1,76380
1993,Transportes Aéreos  Gane S.A  de C.V,1,438
1994,Aero Sudpacifico S.A.,1,2408
1994,Aerocalifornia,1,64391
1994,Aerocozumel,1,19090
1994,Aeroejecutivo S.A de C.V ,1,0
1994,Aerolineas Internacionales,1,0
1994,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,14894
1994,Aeromar,1,21708
1994,Aerolineas Morelos S.A (Aeromorelos),1,2388
1994,Aerovías Caribe S.A  de C.V,1,27529
1994,Aeroméxico (Aerovías de México),1,533843
1994,Aerovías de Poniente S.A de C.V,1,22857
1994,Aviación del Noroeste S.A de C.V,1,15898
1994,Aviacsa (Consorcio Aviaxsa),1,27113
1994,Lineas Aereas Allegro,1,0
1994,Mexicana (Mexicana de Aviación),1,418253
1994,"Pal Aerolineas, S.A. de C.V.",1,2469
1994,Servicios Aereos Rutas Oriente  (S.A.R.O),1,38354
1994,Servicio Aéreo Leo López S.A. de C.V,1,203
1994,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",1,139737
1994,Transportes Aéreos  Gane S.A  de C.V,1,0
1995,Aero Sudpacifico S.A.,1,2481
1995,Aerocalifornia,1,64320
1995,Aerocozumel,1,16606
1995,Aeroejecutivo S.A de C.V ,1,9658
1995,Aerolineas Internacionales,1,10888
1995,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,33933
1995,Aeromar,1,20819
1995,Aerolineas Morelos S.A (Aeromorelos),1,2271
1995,Aerovías Caribe S.A  de C.V,1,30872
1995,Aeroméxico (Aerovías de México),1,479277
1995,Aviación del Noroeste S.A de C.V,1,8269
1995,Aviacsa (Consorcio Aviaxsa),1,48733
1995,Lineas Aereas Allegro,1,4362
1995,Mexicana (Mexicana de Aviación),1,368023
1995,"Pal Aerolineas, S.A. de C.V.",1,2122
1995,Servicios Aereos Rutas Oriente  (S.A.R.O),1,42050
1995,Servicio Aéreo Leo López S.A. de C.V,1,303
1995,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",1,162657
1995,Transportes Aéreos  Gane S.A  de C.V,1,343
1996,Aero Cuahonte S.A de C.V,1,0
1996,Aero Sudpacifico S.A.,1,1491
1996,Aerocalifornia,1,75875
1996,Aerocozumel,1,11864
1996,Aeroejecutivo S.A de C.V ,1,15919
1996,Aerolineas Internacionales,1,12460
1996,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,37810
1996,Aeromar,1,34561
1996,Aerolineas Morelos S.A (Aeromorelos),1,2391
1996,Aerovías Caribe S.A  de C.V,1,29103
1996,Aeroméxico (Aerovías de México),1,428363
1996,Aviación del Noroeste S.A de C.V,1,2924
1996,Aviacsa (Consorcio Aviaxsa),1,34705
1996,Lineas Aereas Allegro,1,4102
1996,Mexicana (Mexicana de Aviación),1,350997
1996,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",1,111079
1997,Aero Cuahonte S.A de C.V,1,3820
1997,Aerocalifornia,1,81420
1997,Aerocozumel,1,12894
1997,Aeroejecutivo S.A de C.V ,1,15997
1997,Aerolineas Internacionales,1,17691
1997,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,51889
1997,Aeromar,1,27107
1997,Aerolineas Morelos S.A (Aeromorelos),1,1394
1997,Aerovías Caribe S.A  de C.V,1,37821
1997,Aeroméxico (Aerovías de México),1,438395
1997,Aviacsa (Consorcio Aviaxsa),1,43831
1997,Lineas Aereas Allegro,1,3658
1997,Mexicana (Mexicana de Aviación),1,354031
1997,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",1,93199
1998,Aero Cuahonte S.A de C.V,1,3535
1998,Aerocalifornia,1,119668
1998,Aerocozumel,1,10550
1998,Aeroejecutivo S.A de C.V ,1,12245
1998,Aerolineas Internacionales,1,21641
1998,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,55131
1998,Aeromar,1,27599
1998,Aerovías Caribe S.A  de C.V,1,37987
1998,Aeroméxico (Aerovías de México),1,475298
1998,Aviacsa (Consorcio Aviaxsa),1,52470
1998,Lineas Aereas Allegro,1,4257
1998,Mexicana (Mexicana de Aviación),1,374921
1998,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",1,119629
1999,Aero Cuahonte S.A de C.V,1,3374
1999,Aerocalifornia,1,133929
1999,Aerocozumel,1,13658
1999,Aeroejecutivo S.A de C.V ,1,3050
1999,Aerolineas Internacionales,1,28183
1999,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,53594
1999,Aeromar,1,27160
1999,Aerovías Caribe S.A  de C.V,1,37841
1999,Aeroméxico (Aerovías de México),1,516294
1999,Aviacsa (Consorcio Aviaxsa),1,80516
1999,Lineas Aereas Allegro,1,11547
1999,Mexicana (Mexicana de Aviación),1,364763
1999,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",1,170793
2000,Aeroméxico (Aerovías de México),1,569834
2000,Mexicana (Mexicana de Aviación),1,417899
2000,Aerocalifornia,1,135320
2000,Aviacsa (Consorcio Aviaxsa),1,93523
2000,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,55678
2000,Aeromar,1,36264
2000,Aerovías Caribe S.A  de C.V,1,38155
2000,Aerolineas Internacionales,1,32068
2000,Lineas Aereas Allegro,1,11398
2000,Aerocozumel,1,9700
2000,Aero Cuahonte S.A de C.V,1,2986
2000,Aeroejecutivo S.A de C.V ,1,2911
2001,Aero Cuahonte S.A de C.V,1,2769
2001,Aerocalifornia,1,122553
2001,Aerocozumel,1,7793
2001,Aerolineas Internacionales,1,38511
2001,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,1,68799
2001,Aeromar,1,33050
2001,Aerovías Caribe S.A  de C.V,1,34171
2001,Aeroméxico (Aerovías de México),1,578262
2001,Aviacsa (Consorcio Aviaxsa),1,129031
2001,Grupo  Aereo Monterrey,1,0
2001,Lineas Aereas Allegro,1,21774
2001,Lineas Aereas Azteca,1,0
2001,Mexicana (Mexicana de Aviación),1,410016
