Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
1992,Aeroméxico (Aerovías de México),427833,428738,444647,451556,478995,447570,556623,618712,443534,482156,481395,489795,5751554
1992,Mexicana (Mexicana de Aviación),430610,391249,425599,469492,451100,422408,536393,581968,361733,422123,426534,439437,5358646
1992,"Transportes Aéreos Ejecutivos, S.A. (T.A.E.S.A)",29417,22540,33264,38883,39115,36307,69080,88622,34131,96398,102953,128931,719641
1992,Aerocalifornia,46706,43378,63142,47588,52314,53849,57709,73256,53844,64305,67982,74630,698703
1992,Aviacsa (Consorcio Aviaxsa),21274,21556,25940,28548,25922,25439,27975,30282,26112,32796,30981,44530,341355
1992,Servicios Aereos Rutas Oriente  (S.A.R.O),18166,21581,26557,21793,17285,25577,27505,36160,22222,24206,27426,33805,302283
1992,Aerovías Caribe S.A  de C.V,18049,17464,18450,17286,16487,16391,25746,24407,17199,20444,18127,28201,238251
1992,Aeromar,13189,15000,18632,18607,19983,19524,19557,18652,18949,21539,20847,18091,222570
1992,Aviación del Noroeste S.A de C.V,15343,15021,14552,14932,18468,9558,16707,18474,17077,16475,18373,22009,196989
1992,Aerocozumel,14011,9837,12917,14170,12643,11380,12388,15669,10500,11857,12876,13899,152147
1992,Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,11381,2637,14410,7669,10848,10918,11621,12976,13184,12389,13776,11828,133637
1992,Aerovías de Poniente S.A de C.V,0,489,2731,4139,5758,6343,8521,8660,8477,11304,11205,13474,81101
1992,Aero Sudpacifico S.A.,1404,2128,2641,2653,2438,1305,2164,2252,1977,2225,2421,2404,26012
1992,Aeromonterrey,2920,3591,2946,1723,1855,1806,1831,1530,930,1815,1982,1882,24811
1992,Aerolineas Morelos S.A (Aeromorelos),693,1382,1643,1841,1937,1448,2480,2599,1109,1025,1472,2498,20127
1992,Transportes Aéreos  Gane S.A  de C.V,1609,865,638,617,541,622,386,278,252,550,360,550,7268
1992,Servicio Aéreo Leo López S.A. de C.V,172,362,439,489,463,481,560,549,398,509,472,490,5384
